#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	6	remain	6	wait	0
At	time	3	process	1	stopped	arr	1	total	6	remain	6	wait	0
At	time	3	process	2	started	arr	3	total	8	remain	8	wait	0
At	time	11	process	2	finished	arr	3	total	8	remain	0	wait	0 TA 8 WTA 1.00
At	time	11	process	8	started	arr	8	total	4	remain	4	wait	0
At	time	15	process	8	finished	arr	8	total	4	remain	0	wait	3 TA 7 WTA 1.75
At	time	15	process	1	resumed	arr	1	total	6	remain	4	wait	0
At	time	19	process	1	finished	arr	1	total	6	remain	0	wait	12 TA 18 WTA 3.00
At	time	19	process	7	started	arr	7	total	5	remain	5	wait	0
At	time	24	process	7	finished	arr	7	total	5	remain	0	wait	12 TA 17 WTA 3.40
At	time	24	process	3	started	arr	3	total	4	remain	4	wait	0
At	time	28	process	3	finished	arr	3	total	4	remain	0	wait	21 TA 25 WTA 6.25
At	time	28	process	9	started	arr	9	total	1	remain	1	wait	0
At	time	29	process	9	finished	arr	9	total	1	remain	0	wait	19 TA 20 WTA 20.00
At	time	29	process	6	started	arr	6	total	8	remain	8	wait	0
At	time	37	process	6	finished	arr	6	total	8	remain	0	wait	23 TA 31 WTA 3.88
At	time	37	process	5	started	arr	5	total	7	remain	7	wait	0
At	time	44	process	5	finished	arr	5	total	7	remain	0	wait	32 TA 39 WTA 5.57
At	time	44	process	4	started	arr	4	total	2	remain	2	wait	0
At	time	46	process	4	finished	arr	4	total	2	remain	0	wait	40 TA 42 WTA 21.00
